obs,panel_month,actual_quote_date,exact_calendar_first_of_month,M3,M6,M9,M12,M15,M18,M21,M24,M30,M36,M48,M60,M72,M84,M96,M108,M120
1988M01,1988-01,1988-01-04,False,6.044825479281035,6.554883713880283,6.853354687441499,7.039693399494902,7.395305883552866,7.530510755741644,7.633200897588996,7.64510958772082,7.800996573331152,7.90444526454529,8.140385926309559,8.262532559183585,8.506789714420076,8.69860098077902,8.740588853030468,8.83232899290744,8.760434624188148
1988M02,1988-02,1988-02-01,True,5.805591411949881,6.258703287606626,6.486528058952157,6.698133959764172,6.913540265987512,7.013201236444291,7.114402325581591,7.102766524170695,7.285979393142572,7.387156793455042,7.579305900495262,7.790646441045402,7.922398654839351,8.05861431424303,8.20030572483677,8.231580624100355,8.237949261196006
1988M03,1988-03,1988-03-01,True,5.722781245936989,6.0192081978022625,6.345894812692284,6.518460189311442,6.749264210502538,6.833917088686582,6.923271669646651,6.995400957437649,7.121475952133635,7.220048344175628,7.4070882554931865,7.445386175222296,7.7452682305325204,7.985448840840065,8.08315247050367,8.158014499894664,8.128331273474334
1988M04,1988-04,1988-04-04,False,6.026622983315253,6.414113172131547,6.70167394428364,6.927925879567126,7.105662655339871,7.206289608305676,7.3723180364308405,7.453627520880046,7.588820809399882,7.71649727643274,7.947419382438237,8.09936679952954,8.3052672246495,8.510681570451723,8.606567810597854,8.66511631370307,8.64028365171692
1988M05,1988-05,1988-05-02,False,6.2254774866462075,6.6531220143627126,6.903797980120144,7.11311887104645,7.340277549686651,7.424426879248479,7.53825971698881,7.672493901418194,7.825432637238443,7.920921500983047,8.181175379018946,8.337752385694106,8.523753133331045,8.643691991054094,8.798957367098325,8.881538789876583,8.908419465153337
1988M06,1988-06,1988-06-01,True,6.596358527971717,6.988138172311153,7.271451011780671,7.506568387974917,7.706567403627694,7.817485756729227,7.913225573409408,7.944579646592007,8.083649254179255,8.162913383483374,8.371248745222523,8.343281443457913,8.657208403770872,8.763252797388477,8.875600429277831,8.974164901869022,8.973593816437962
1988M07,1988-07,1988-07-01,True,6.689090683561346,7.0056737099098765,7.212541830421465,7.3504573523093715,7.631676401537107,7.707484073129479,7.767583467208068,7.848627610668619,7.9148096446776215,8.017294817503196,8.145153286370626,8.242902724364509,8.449832921072778,8.596115528174469,8.659006271556636,8.738404222752367,8.701811625674521
1988M08,1988-08,1988-08-01,True,7.056246108050497,7.365615348176231,7.566788712116845,7.793762641540603,8.00170923640092,8.045287790527587,8.155265915361518,8.213913452414433,8.30583316065035,8.345024981229626,8.461905538036579,8.54591531665692,8.676147180467689,8.87031600574403,8.926044542381199,9.027834558310193,8.987761048971807
1988M09,1988-09,1988-09-01,True,7.44210365590377,7.740124927817087,7.975945287592164,8.07845936461225,8.384659838981834,8.46723891676717,8.491789741340398,8.505579669364735,8.596765922533873,8.619625524182831,8.743440952905777,8.674755281402815,8.851614872254821,9.077043432109377,9.083186973444397,9.162510568589472,9.138101107714432
1988M10,1988-10,1988-10-03,False,7.397162542427839,7.687590227068529,7.895782151546666,8.011230705414322,8.166538579207666,8.198568376474835,8.252988228917994,8.26943024374746,8.313936030348252,8.35986680481495,8.386904780644668,8.438945598861245,8.568097907572348,8.650832393490202,8.683823206490757,8.744446162499456,8.723305418055826
1988M11,1988-11,1988-11-01,True,7.501921301430721,7.715728112350133,7.845905493185396,7.903047507479635,8.003824420785403,8.074713264976277,8.115932143717103,8.085711979828718,8.073735087108874,8.124872841356094,8.22466425964079,8.388996250817012,8.374769746452595,8.439642767620231,8.512505823261328,8.57208134218589,8.579498937876975
1988M12,1988-12,1988-12-01,True,8.036338645837613,8.277280664991196,8.417814280847438,8.498351750091324,8.652026100463052,8.689642181283357,8.64618375121803,8.664978719392698,8.59647903875818,8.698439026469336,8.719742150549232,8.575121997799112,8.803072956262843,8.858214293364062,8.851142066832079,8.881248681789256,8.839593801828439
1989M01,1989-01,1989-01-03,False,8.413461780466895,8.658921368354093,8.852764237255066,8.925491312507038,9.036832824667979,9.03856887496723,9.073538335914808,9.011269094364065,9.04669555237903,9.04418396910171,9.082644620251886,9.032871955740257,9.120226992001925,9.119550190478595,9.112092044480507,9.053780494155452,8.993467161669011
1989M02,1989-02,1989-02-01,True,8.570088361292356,8.697681455836758,8.79364915875724,8.882930556593061,8.956859969799106,8.984730574321397,8.945918450612155,8.895485169691552,8.866415335569737,8.862428897375061,8.879726686810288,8.804601222103708,8.889969388842324,8.836591425787113,8.856334858468912,8.823850041395078,8.759698149443441
1989M03,1989-03,1989-03-01,True,8.876906163614093,8.975090690305983,9.133904605267166,9.255663637859508,9.397059215217965,9.401563076170333,9.360723884355668,9.325045796765046,9.299566180906663,9.252531353808195,9.24775756219784,8.960195102947077,9.266057812347364,9.207369326125841,9.184115533728807,9.172356361171232,9.111612357939181
1989M04,1989-04,1989-04-03,False,9.059059022797364,9.197509681635648,9.197868603902915,9.456692171933808,9.563079299892609,9.498594027746488,9.39060544667816,9.364141263595924,9.36504006429959,9.322883432012231,9.238778857846226,9.114615836626673,9.141306340864809,9.077089717340456,9.043090077137581,8.971759514421068,8.927273771990839
1989M05,1989-05,1989-05-01,True,8.857942636339331,8.981750099481076,8.961988106804673,9.141364505519684,9.22608505221362,9.2099602949308,9.14945436840974,9.136047078935121,9.169672990665969,9.138848523800842,9.08598756045979,9.051929675447797,9.037182295492997,8.980520340140613,9.009625734008988,8.923441366074181,8.893515699517163
1989M06,1989-06,1989-06-01,True,8.817352812030038,8.676356577892022,8.655445484724357,8.753695391084618,8.758674669347194,8.725888447783253,8.693109605372182,8.613745908105873,8.628634973991002,8.612857078233564,8.599785264398077,8.35179482677844,8.528221084613312,8.525654933975602,8.508029459670185,8.45473935971931,8.369286786121018
1989M07,1989-07,1989-07-03,False,8.152344968212958,7.925758156007815,7.895913126704854,7.882898685994631,8.065766560450335,7.973788626967136,7.9732040433954,7.8909485866129625,7.888734475250622,7.875737434974077,7.823654960423908,7.854160172659134,7.9903671240931065,8.004715907218795,8.021105648837526,8.02419315097216,7.919467983155466
1989M08,1989-08,1989-08-01,True,7.821764218616431,7.593166069062808,7.548036760595103,7.467279278300618,7.544247720760421,7.469389573862971,7.477948234278825,7.307139928754684,7.392557197810537,7.390234312456806,7.378328642015545,7.399886454227709,7.519429230046651,7.471009983110374,7.613856106348325,7.6796984205068375,7.6533715627029135
1989M09,1989-09,1989-09-01,True,8.039009696865438,8.03847459248376,8.081781337796086,8.082143411592623,8.259142952469919,8.29327248415327,8.206867522969196,8.191960697112002,8.201059017603527,8.146854209908362,8.127447930852128,7.969709685780249,8.14383885139875,8.066197007558157,8.11483399526772,8.101932822804509,7.979849564158585
1989M10,1989-10,1989-10-02,False,8.043990217916548,8.21888794683699,8.329444889158596,8.339640810326285,8.336502785115997,8.355399857245253,8.34627428702393,8.310306629731269,8.288399041771891,8.28589865226556,8.226924509629544,8.181956921769379,8.237254320910257,8.18772922509699,8.203466927307659,8.173375313211343,8.069051038570482
1989M11,1989-11,1989-11-01,True,7.96203232266834,7.788426838791218,7.759891425979397,7.753832809817681,7.825785253286635,7.8626966788665165,7.831526156762044,7.703502950350995,7.7743869907764065,7.776504707881182,7.787596775531874,7.778805824004424,7.840947242773629,7.782894701306131,7.837713046253389,7.827818877033008,7.75197096543071
1989M12,1989-12,1989-12-01,True,7.697546206369972,7.572833777265776,7.518994106289606,7.542230221119139,7.6506925466371865,7.652223884328392,7.659562269778067,7.540571998440597,7.62232123214236,7.5941909805250845,7.64876686325343,7.53956750972878,7.729956025808842,7.70591476262597,7.7490601858537,7.758368202651952,7.652402776407433
1990M01,1990-01,1990-01-02,False,7.808824599732287,7.781278659951246,7.654653438948669,7.740309254560372,7.839993715505393,7.862128534659176,7.830290698092809,7.766451395013199,7.7764765974339305,7.780453211129565,7.722215646091842,7.769850073075318,7.896327957216559,7.874863278822547,7.893110772184079,7.906085088424803,7.783271467416229
1990M02,1990-02,1990-02-01,True,7.941332948455152,7.968492935275141,7.985887687497698,7.997280247155565,8.145128639325113,8.18284585760503,8.150179211680985,8.110995644522864,8.196575118813957,8.166570476544956,8.214745855043546,8.26605857636007,8.291922544052738,8.212566344747216,8.292273059937171,8.320555021741963,8.270965958175672
1990M03,1990-03,1990-03-01,True,7.994008230475136,8.020579649405459,8.06374312158745,8.098337290036701,8.22881726330639,8.340590241570615,8.378603523095965,8.345471247318867,8.362053489989314,8.366008207201913,8.440356141628365,8.348909974701627,8.510449975333406,8.456715359804747,8.489803626107904,8.497426291313406,8.389241200930794
1990M04,1990-04,1990-04-02,False,8.000316297317704,8.06578053983981,8.084430666347533,8.271909688248275,8.40879564653565,8.421865820106328,8.472513107634615,8.469691186578308,8.48522976561702,8.53550263789868,8.491849347178047,8.49492513082157,8.555622213726803,8.51385471942247,8.535086685586473,8.542733221569993,8.4588105510515
